[9/11/2021 03:53:00] Server started on port 40001,30001,40002,30002 at 127.0.0.1 
[9/11/2021 03:53:18] 127.0.0.1:1031 Connected to port 40001
[9/11/2021 03:53:20] 127.0.0.1:1033 Connected to port 30001
[9/11/2021 03:53:23] 127.0.0.1:1036 Connected to port 40002
[9/11/2021 03:53:24] 127.0.0.1:1038 Connected to port 30002
[9/11/2021 03:53:31] Transaction data from 127.0.0.1:40001 to 127.0.0.1:30001
[9/11/2021 03:53:36] Transaction data from 127.0.0.1:30001 to 127.0.0.1:40001
[9/11/2021 03:53:37] Transaction data from 127.0.0.1:30001 to 127.0.0.1:40001
[9/11/2021 03:53:41] Transaction data from 127.0.0.1:30001 to 127.0.0.1:40001
[9/11/2021 03:53:50] Transaction data from 127.0.0.1:30002 to 127.0.0.1:40002
[9/11/2021 03:53:51] Transaction data from 127.0.0.1:30002 to 127.0.0.1:40002
[9/11/2021 03:53:51] Transaction data from 127.0.0.1:30002 to 127.0.0.1:40002
[9/11/2021 03:53:54] Transaction data from 127.0.0.1:40002 to 127.0.0.1:30002
[9/11/2021 03:53:55] Transaction data from 127.0.0.1:40002 to 127.0.0.1:30002
[9/11/2021 03:53:58] Transaction data from 127.0.0.1:40002 to 127.0.0.1:30002
